2021/01/18 15:16:23 : ---------- Starting Demo Migration ID: 63 ----------
2021/01/18 15:16:37 : Current categories, products, orders cleared
2021/01/18 15:17:04 : Migration of Categories is completed
2021/01/18 15:18:06 : Migration of Products is completed
2021/01/18 15:19:07 : Migration of Orders is completed
2021/01/18 15:19:11 : Demo Migration ID: 63 completed
2021/01/18 15:21:06 : Migration of Categories is completed
2021/01/18 15:21:06 : Migration of Products is completed
2021/01/18 15:21:07 : Migration of Orders is completed
2021/01/18 15:21:11 : Demo Migration ID: 63 completed
2021/01/18 15:35:53 : Migration of Products is completed
2021/01/18 15:35:54 : Migration of Orders is completed
2021/01/18 15:36:00 : Demo Migration ID: 63 completed
2021/01/18 16:07:20 : Migration of Categories is completed
2021/01/18 16:07:20 : Migration of Products is completed
2021/01/18 16:07:21 : Migration of Orders is completed
2021/01/18 16:07:24 : Demo Migration ID: 63 completed
